"task_number","technique","tree_depth","repetition","start_time","end_time","ellapsed_time","num_windows","subject"
"1","M","5","1",276789,322580,45.791,1,"s1"
"2","M","3","0",330600,354213,23.613,1,"s1"
"3","M","4","1",356237,385684,29.447,1,"s1"
"4","M","4","0",387403,420664,33.261,1,"s1"
"5","M","5","0",422151,457399,35.248,1,"s1"
"6","M","5","3",458765,503409,44.644,1,"s1"
"7","M","4","3",504800,533937,29.137,1,"s1"
"8","M","3","3",535160,570722,35.562,1,"s1"
"9","M","3","2",572025,590440,18.415,1,"s1"
"10","M","5","2",592030,623750,31.72,1,"s1"
"11","M","3","1",625314,648319,23.005,1,"s1"
"12","M","4","2",650109,665254,15.145,1,"s1"
"13","S","3","2",713087,733451,20.364,0,"s1"
"14","S","5","0",734804,772212,37.409,0,"s1"
"15","S","5","2",773625,800281,26.656,0,"s1"
"16","S","3","3",801744,822778,21.034,0,"s1"
"17","S","3","0",824167,846776,22.609,0,"s1"
"18","S","3","1",848586,865259,16.673,0,"s1"
"19","S","5","3",866463,892382,25.919,0,"s1"
"20","S","4","1",893739,921628,27.889,0,"s1"
"21","S","4","0",923284,938694,15.41,0,"s1"
"22","S","4","2",939804,959008,19.204,0,"s1"
"23","S","4","3",960864,993945,33.081,0,"s1"
"24","S","5","1",995294,1031044,35.75,0,"s1"
"25","P","4","3",1247402,1272719,25.317,4,"s1"
"26","P","3","1",1273996,1303573,29.577,3,"s1"
"27","P","5","0",1304929,1335271,30.342,5,"s1"
"28","P","5","1",1336820,1367427,30.607,5,"s1"
"29","P","4","2",1368982,1399571,30.589,4,"s1"
"30","P","3","2",1401045,1428088,27.043,4,"s1"
"31","P","5","2",1429624,1469826,40.202,6,"s1"
"32","P","3","0",1471358,1490576,19.218,3,"s1"
"33","P","4","0",1492040,1520855,28.815,4,"s1"
"34","P","5","3",1522470,1559705,37.235,5,"s1"
"35","P","4","1",1561336,1600112,38.776,4,"s1"
"36","P","3","3",1601684,1630408,28.724,3,"s1"
"1","M","5","2",92846,142529,49.683,2,"s2"
"2","M","3","0",143479,164726,21.247,1,"s2"
"3","M","5","1",165614,220150,54.536,1,"s2"
"4","M","3","1",221047,247607,26.56,1,"s2"
"5","M","4","2",248575,276106,27.531,1,"s2"
"6","M","5","0",277233,317423,40.19,1,"s2"
"7","M","4","0",318545,349888,31.343,1,"s2"
"8","M","4","3",350889,386128,35.239,1,"s2"
"9","M","4","1",387098,401568,14.47,1,"s2"
"10","M","5","3",402882,452345,49.463,1,"s2"
"11","M","3","2",453315,470753,17.438,1,"s2"
"12","M","3","3",471939,493882,21.943,1,"s2"
"13","P","4","1",579525,622428,42.903,5,"s2"
"14","P","5","3",623637,662036,38.399,5,"s2"
"15","P","4","0",663053,690397,27.344,4,"s2"
"16","P","4","2",691478,716205,24.727,4,"s2"
"17","P","5","0",717638,752283,34.645,5,"s2"
"18","P","3","1",753399,775514,22.115,3,"s2"
"19","P","3","0",777007,794486,17.479,3,"s2"
"20","P","4","3",795710,826799,31.089,4,"s2"
"21","P","5","1",828071,856429,28.358,5,"s2"
"22","P","3","3",857585,880252,22.667,3,"s2"
"23","P","3","2",881536,897350,15.814,3,"s2"
"24","P","5","2",898553,933757,35.204,5,"s2"
"25","S","4","0",968218,997641,29.423,0,"s2"
"26","S","5","1",998787,1041507,42.72,0,"s2"
"27","S","5","2",1043090,1082127,39.037,0,"s2"
"28","S","5","0",1083179,1116067,32.888,0,"s2"
"29","S","4","1",1117337,1151234,33.897,0,"s2"
"30","S","3","1",1152685,1180379,27.694,0,"s2"
"31","S","5","3",1182173,1216856,34.683,0,"s2"
"32","S","3","0",1217920,1242488,24.568,0,"s2"
"33","S","4","2",1243867,1266888,23.021,0,"s2"
"34","S","3","3",1268253,1298050,29.797,0,"s2"
"35","S","4","3",1299270,1342773,43.503,0,"s2"
"36","S","3","2",1344281,1359102,14.821,0,"s2"
"1","P","5","2",132888,195669,62.781,6,"s3"
"2","P","5","3",197027,264468,67.441,5,"s3"
"3","P","5","0",265695,387457,121.762,12,"s3"
"4","P","3","2",388844,413729,24.885,3,"s3"
"5","P","3","0",415102,442859,27.757,4,"s3"
"6","P","3","3",444161,468722,24.561,3,"s3"
"7","P","5","1",469902,514615,44.713,5,"s3"
"8","P","4","1",516345,570263,53.918,6,"s3"
"9","P","4","0",571881,610085,38.204,4,"s3"
"10","P","4","3",611844,635996,24.152,4,"s3"
"11","P","3","1",637444,680667,43.223,5,"s3"
"12","P","4","2",682099,704697,22.598,4,"s3"
"13","S","3","0",852157,881454,29.297,0,"s3"
"14","S","5","1",882706,928734,46.028,0,"s3"
"15","S","3","2",930097,940507,10.41,0,"s3"
"16","S","3","3",941981,973189,31.208,0,"s3"
"17","S","5","0",974624,1005184,30.56,0,"s3"
